S. no.,Name of City,State,Type,Population (2011),Population class
1,Mumbai,Maharashtra,Municipal Corporation / Corporation,"1,35,97,924",Class I
2,Delhi,Delhi,Municipal Corporation / Corporation,"1,10,07,835",Class I
3,Bengaluru,Karnataka,Municipal Corporation / Corporation,"84,25,970",Class I
4,Ahmedabad,Gujarat,Municipal Corporation / Corporation.,"72,08,200",Class I
5,Hyderabad,Telangana,Municipal Corporation / Corporation,"68,09,970",Class I
6,Chennai,Tamil Nadu,Municipal Corporation / Corporation.,"46,81,087",Class I
7,Kolkata,West Bengal,Municipal Corporation / Corporation,"44,86,679",Class I
8,Pune,Maharashtra,Urban Agglomeration,"37,60,636",
9,Jaipur,Rajasthan,Municipal Corporation / Corporation,"30,73,350",Class I
10,Surat,Gujarat,Municipal Corporation / Corporation.,"28,76,374",
11,Lucknow,Uttar Pradesh,Municipal Corporation / Corporation,"28,15,601",Class I
12,Kanpur,Uttar Pradesh,Municipal Corporation / Corporation,"27,67,031",Class I
13,Nagpur,Maharashtra,Municipal Corporation / Corporation,"24,05,421",Class I
14,Patna,Bihar,Municipal Corporation / Corporation.,"22,31,554",
15,Indore,Madhya Pradesh,Municipal Corporation / Corporation.,"19,60,631",Class I
16,Thane,Maharashtra,Municipal Corporation / Corporation.,"18,18,872",Class I
17,Bhopal,Madhya Pradesh,Municipal Corporation / Corporation.,"17,95,648",Class I
18,Visakhapatnam,Andhra Pradesh,Municipal Committee.,"17,30,320",Class I
19,Vadodara,Gujarat,Municipal Committee.,"16,66,703",Class I
20,Firozabad,Uttar Pradesh,Census town.,"16,45,675",Class I
21,Ludhiana,Punjab,Municipal Corporation / Corporation.,"16,13,878",Class I
22,Rajkot,Gujarat,Urban Agglomeration,"16,06,745",
23,Agra,Uttar Pradesh,Municipal Corporation / Corporation.,"15,74,542",Class I
24,Siliguri,West Bengal,Municipal Corporation / Corporation.,"15,72,000",
25,Nashik,Maharashtra,Municipal Corporation / Corporation,"14,86,973",Class I
26,Faridabad,Haryana,Municipal Corporation / Corporation.,"14,04,653",Class I
27,Patiala,Punjab,Municipal Corporation / Corporation.,"13,54,686",
28,Meerut,Uttar Pradesh,Municipal Corporation / Corporation,"13,09,023",Class I
29,Kalyan-Dombivali,Maharashtra,Municipal Corporation / Corporation.,"12,46,381",Class I
30,Vasai-Virar,Maharashtra,Municipal Corporation / Corporation.,"12,21,233",Class I
31,Varanasi,Uttar Pradesh,Municipal Corporation / Corporation.,"12,01,815",Class I
32,Srinagar,Jammu and Kashmir,Urban Agglomeration,"11,92,792",
33,Dhanbad,Jharkhand,Municipal Corporation / Corporation,"11,61,561",Class I
34,Jodhpur,Rajasthan,Municipal Corporation / Corporation,"11,37,000",Class I
35,Amritsar,Punjab,Municipal Corporation / Corporation.,"11,32,761",Class I
36,Raipur,Chhattisgarh,Municipal Committee,"11,22,555",
37,Allahabad,Uttar Pradesh,Municipality.,"11,17,094",Class I
38,Coimbatore,Tamil Nadu,Municipal Corporation / Corporation,"10,61,447",Class I
39,Jabalpur,Madhya Pradesh,Municipal Corporation / Corporation,"10,54,336",Class I
40,Gwalior,Madhya Pradesh,Municipal Corporation / Corporation,"10,53,505",Class I
41,Vijayawada,Andhra Pradesh,Municipal Corporation / Corporation.,"10,48,240",Class I
42,Madurai,Tamil Nadu,Municipal Corporation / Corporation,"10,16,885",Class I
43,Guwahati,Assam,Municipal Corporation / Corporation,"9,63,429",Class I
44,Chandigarh,Chandigarh,Municipal Corporation / Corporation.,"9,60,787",Class I
45,Hubli-Dharwad,Karnataka,Municipal Corporation / Corporation,"9,43,857",Class I
46,Amroha,Uttar Pradesh,Nagar Panchayat.,"8,97,135",Class I
47,Moradabad,Uttar Pradesh,Municipal Corporation / Corporation,"8,89,810",Class I
48,Gurgaon,Haryana,Municipal Corporation / Corporation.,"8,76,824",Class I
49,Aligarh,Uttar Pradesh,Municipalityunicipal Corporation / Corporation.,"8,72,575",Class I
50,Solapur,Maharashtra,Municipal Corporation / Corporation.,"8,72,478",
51,Ranchi,Jharkhand,Urban Agglomeration,"8,63,495",
52,Jalandhar,Punjab,Municipal Corporation / Corporation,"8,62,196",Class I
53,Tiruchirappalli,Tamil Nadu,Municipal Corporation / Corporation.,"8,46,915",Class I
54,Bhubaneswar,Odisha,Municipal Corporation / Corporation,"8,37,737",Class I
55,Salem,Tamil Nadu,Municipal Corporation / Corporation,"8,31,038",Class I
56,Warangal,Telangana,Municipal Corporation / Corporation.,"8,19,429",Class I
57,Mira-Bhayandar,Maharashtra,Municipal Corporation / Corporation,"8,14,655",Class I
58,Thiruvananthapuram,Kerala,Municipal Corporation / Corporation.,"7,52,490",Class I
59,Bhiwandi,Maharashtra,Municipal Corporation / Corporation.,"7,11,329",Class I
60,Saharanpur,Uttar Pradesh,Municipal Corporation / Corporation,"7,03,345",Class I
61,Guntur,Andhra Pradesh,Municipal Corporation / Corporation,"6,51,382",Class I
62,Amravati,Maharashtra,Municipal Corporation / Corporation,"6,46,801",Class I
63,Bikaner,Rajasthan,Municipal Corporation / Corporation.,"6,44,406",Class I
64,Noida,Uttar Pradesh,Census town,"6,42,381",Class I
65,Jamshedpur,Jharkhand,Notified area committee / Notified Area Council ,"6,29,659",Class I
66,Bhilai Nagar,Chhattisgarh,Municipal Corporation / Corporation,"6,25,697",Class I
67,Cuttack,Odisha,Municipal Corporation / Corporation,"6,06,007",Class I
68,Kochi,Kerala,Municipal Corporation / Corporation,"6,01,574",Class I
69,Udaipur,Rajasthan,Municipal Corporation / Corporation,"5,98,483",Class I
70,Bhavnagar,Gujarat,Municipal Corporation / Corporation,"5,93,768",Class I
71,Dehradun,Uttarakhand,Municipal Corporation / Corporation,"5,78,420",Class I
72,Asansol,West Bengal,Municipal Corporation / Corporation.,"5,64,491",Class I
73,Nanded-Waghala,Maharashtra,Municipal Corporation / Corporation.,"5,50,564",Class I
74,Ajmer,Rajasthan,Municipal Corporation / Corporation.,"5,42,580",Class I
75,Jamnagar,Gujarat,Municipal Corporation / Corporation,"5,29,308",Class I
76,Ujjain,Madhya Pradesh,Municipal Corporation / Corporation.,"5,15,215",Class I
77,Sangli,Maharashtra,Urban Agglomeration,"5,13,862",
78,Loni,Uttar Pradesh,Nagar Panchayat,"5,12,296",Class I
79,Jhansi,Uttar Pradesh,Municipal Corporation / Corporation.,"5,07,293",Class I
80,Pondicherry,Puducherry,Urban Agglomeration,"5,05,959",
81,Nellore,Andhra Pradesh,Municipal Corporation / Corporation,"5,05,258",Class I
82,Jammu,Jammu and Kashmir,Municipal Committee,"5,03,690",Class I
83,Belagavi,Karnataka,Municipal Corporation / Corporation.,"4,88,292",Class I
84,,,,,
85,Mangaluru,Karnataka,Municipal Corporation / Corporation,"4,84,785",Class I
86,Tirunelveli,Tamil Nadu,Municipal Corporation / Corporation.,"4,74,838",Class I
87,Malegaon,Maharashtra,Municipal Corporation / Corporation,"4,71,006",Class I
88,Gaya,Bihar,Municipal Corporation / Corporation.,"4,63,454",Class I
89,Tiruppur,Tamil Nadu,Municipal Corporation / Corporation,"4,44,543",Class I
90,Davanagere,Karnataka,Municipal Corporation / Corporation.,"4,35,128",Class I
91,Kozhikode,Kerala,Municipal Corporation / Corporation,"4,32,097",Class I
92,Akola,Maharashtra,Municipal Corporation / Corporation.,"4,27,146",Class I
93,Kurnool,Andhra Pradesh,Municipal Corporation / Corporation,"4,24,920",Class I
94,Bokaro Steel City,Jharkhand,Census town,"4,13,934",Class I
95,,,,,
96,Ballari,Karnataka,Municipal Corporation / Corporation.,"4,09,644",Class I
97,Agartala,Tripura,Municipal Corporation / Corporation.,"3,99,688",Class I
98,Bhagalpur,Bihar,Municipal Corporation / Corporation.,"3,98,138",Class I
99,Latur,Maharashtra,Municipal Council,"3,82,754",Class I
100,Dhule,Maharashtra,Municipal Corporation / Corporation,"3,76,093",Class I
101,Korba,Chhattisgarh,Municipal Corporation / Corporation.,"3,63,210",Class I
102,Bhilwara,Rajasthan,Municipality,"3,60,009",Class I
103,Brahmapur,Odisha,Municipal Corporation / Corporation,"3,55,823",Class I
104,Mysore,Karnatka,Municipal Corporation / Corporation.,"3,51,838",Class I
105,Muzaffarpur,Bihar,Municipal Corporation / Corporation.,"3,51,838",Class I
106,Ahmednagar,Maharashtra,Municipal Corporation / Corporation.,"3,50,905",Class I
107,Kollam,Kerala,Municipal Corporation / Corporation,"3,49,033",Class I
108,,,,,
109,Bilaspur,Chhattisgarh,Municipal Corporation / Corporation,"3,30,106",Class I
110,,,,,
111,Thrissur,Kerala,Municipal Corporation / Corporation.,"3,15,596",Class I
112,Alwar,Rajasthan,Municipal Council,"3,15,310",Class I
113,Kakinada,Andhra Pradesh,Municipal Corporation / Corporation,"3,12,255",Class I
114,Nizamabad,Telangana,Municipal Corporation / Corporation,"3,10,467",Class I
115,,,,,
116,Tumkur,Karnataka,City Municipal Council,"3,05,821",Class I
117,Hisar,Haryana,Municipal Council,"3,01,249",Class I
118,,,,,
119,Panipat,Haryana,Municipal Council,"2,94,150",Class I
120,Darbhanga,Bihar,Municipal Corporation / Corporation.,"2,94,116",Class I
121,Kharagpur,West Bengal,Municipality/Industrial Township,"2,93,719",Class I
122,Aizawl,Mizoram,Notified Town,"2,91,822",Class I
123,Ichalkaranji,Maharashtra,Municipal Council,"2,87,570",Class I
124,Tirupati,Andhra Pradesh,Municipal Corporation / Corporation.,"2,87,035",Class I
125,Karnal,Haryana,Municipal Council,"2,86,974",Class I
126,Bathinda,Punjab,Municipal Corporation / Corporation,"2,85,813",Class I
127,Rampur,Uttar Pradesh,Municipal board,"2,81,494",
128,Shivamogga,Karnataka,City Municipal Council,"2,74,352",
129,Ratlam,Madhya Pradesh,Urban Agglomeration,"2,73,892",
130,Modinagar,Uttar Pradesh,Municipality,"2,72,918",
131,Durg,Chhattisgarh,Municipal Corporation / Corporation,"2,68,679",Class I
132,Shillong,Meghalaya,Urban Agglomeration,"2,67,662",
133,Imphal,Manipur,Municipal Council,"2,64,986",Class I
134,Hapur,Uttar Pradesh,Nagar Palika Parishad,"2,62,801",Class I
135,Ranipet,Tamil Nadu,Urban Agglomeration,"2,62,346",
136,Anantapur,Andhra Pradesh,Municipal Corporation / Corporation.,"2,62,340",Class I
137,Arrah,Bihar,Municipal Corporation / Corporation.,"2,61,099",Class I
138,Karimnagar,Telangana,Municipal Corporation / Corporation,"2,60,899",Class I
139,Parbhani,Maharashtra,Municipal Council,"2,59,329",
140,Etawah,Uttar Pradesh,Nagar Palika Parishad,"2,56,790",Class I
141,Bharatpur,Rajasthan,Municipal Corporation / Corporation.,"2,52,109",Class I
142,Begusarai,Bihar,Municipal Corporation / Corporation.,"2,51,136",Class I
143,New Delhi,Delhi,Municipal Council,"2,49,998",Class I
144,Chhapra,Bihar,Municipal Corporation / Corporation,"2,49,555",Class I
145,Kadapa,Andhra Pradesh,Municipal Corporation / Corporation,"2,41,823",Class I
146,Ramagundam,Telangana,Municipal Corporation / Corporation,"2,37,686",
147,Pali,Rajasthan,Municipal Council,"2,29,956",Class I
148,Satna,Madhya Pradesh,Urban Agglomeration,"2,29,307",
149,Vizianagaram,Andhra Pradesh,Municipality,"2,28,025",Class I
150,Katihar,Bihar,Municipal Corporation / Corporation,"2,25,982",Class I
151,Hardwar,Uttarakhand,Nagar Palika Parishad,"2,25,235",Class I
152,Sonipat,Haryana,Urban Agglomeration,"2,25,074",
153,Nagercoil,Tamil Nadu,Municipality,"2,24,329",Class I
154,Thanjavur,Tamil Nadu,Municipality,"2,22,619",Class I
155,Murwara (Katni),Madhya Pradesh,Municipal Corporation / Corporation,"2,21,875",Class I
156,Naihati,West Bengal,Municipality,"2,21,762",Class I
157,Sambhal,Uttar Pradesh,Nagar Palika Parishad,"2,21,334",Class I
158,Nadiad,Gujarat,Municipality,"2,18,150",Class I
159,Yamunanagar,Haryana,Municipal Council,"2,16,628",Class I
160,English Bazar,West Bengal,Municipality,"2,16,083",Class I
161,Eluru,Andhra Pradesh,Municipal Corporation / Corporation.,"2,14,414",Class I
162,Munger,Bihar,Municipal Corporation / Corporation,"2,13,101",Class I
163,Panchkula,Haryana,Municipal Council,"2,10,175",Class I
164,Raayachuru,Karnataka,City Municipal Council,"2,07,421",
165,Panvel,Maharashtra,Municipal Council,"2,04,336",
166,Deoghar,Jharkhand,Municipal Corporation / Corporation,"2,03,116",Class I
167,Ongole,Andhra Pradesh,Municipality,"2,02,826",Class I
168,Nandyal,Andhra Pradesh,Municipality,"2,00,746",Class I
169,Morena,Madhya Pradesh,Municipality,"2,00,506",Class I
170,Bhiwani,Haryana,Municipal Council,"1,97,662",Class I
171,Porbandar,Gujarat,Urban Agglomeration,"1,97,382",
172,Palakkad,Kerala,Urban Agglomeration,"1,97,369",
173,Anand,Gujarat,Municipality,"1,97,351",Class I
174,Purnia,Bihar,Municipal Corporation / Corporation.,"1,97,211",
175,Baharampur,West Bengal,Municipality,"1,95,363",Class I
176,Barmer,Rajasthan,Nagar Parishad,"1,89,715",Class I
177,Morvi,Gujarat,Municipality,"1,88,278",Class I
178,Orai,Uttar Pradesh,Nagar Palika Parishad.,"1,87,185",Class I
179,Bahraich,Uttar Pradesh,Nagar Palika Parishad,"1,86,241",Class I
180,Sikar,Rajasthan,Urban Agglomeration,"1,85,925",
181,Vellore,Tamil Nadu,Municipal Corporation / Corporation.,"1,85,895",Class I
182,Singrauli,Madhya Pradesh,Municipal Corporation / Corporation.,"1,85,190",
183,Khammam,Telangana,Municipal Corporation / Corporation,"1,84,252",Class I
184,Mahesana,Gujarat,Municipality,"1,84,133",Class I
185,Silchar,Assam,Urban Agglomeration,"1,84,105",
186,Sambalpur,Odisha,Municipal Corporation / Corporation.,"1,83,383",Class I
187,Rewa,Madhya Pradesh,Municipal Corporation / Corporation.,"1,83,274",
188,Unnao,Uttar Pradesh,Nagar Palika Parishad.,"1,77,658",Class I
189,Hugli-Chinsurah,West Bengal,Municipality,"1,77,209",Class I
190,Raiganj,West Bengal,Urban Agglomeration,"1,75,047",
191,Phusro,Jharkhand,Urban Agglomeration,"1,74,402",
192,Adityapur,Jharkhand,Nagar Panchayat.,"1,74,355",Class I
193,Alappuzha,Kerala,Municipality,"1,74,164",Class I
194,Bahadurgarh,Haryana,Municipal Council,"1,70,426",Class I
195,Machilipatnam,Andhra Pradesh,Municipality,"1,70,008",Class I
196,Rae Bareli,Uttar Pradesh,Municipal board,"1,69,333",
197,Jalpaiguri,West Bengal,Municipal Corporation / Corporation,"1,69,013",Class I
198,Bharuch,Gujarat,Municipality,"1,68,729",Class I
199,Pathankot,Punjab,Urban Agglomeration,"1,68,485",
200,Hoshiarpur,Punjab,Municipal Council,"1,68,443",Class I
201,Baramula,Jammu and Kashmir,Municipal Council,"1,67,986",Class I
202,Adoni,Andhra Pradesh,Municipality,"1,66,344",Class I
203,Jind,Haryana,Municipal Council,"1,66,225",Class I
204,Tonk,Rajasthan,Municipal Council,"1,65,363",Class I
205,Tenali,Andhra Pradesh,Municipality,"1,64,649",Class I
206,Kancheepuram,Tamil Nadu,Municipality,"1,64,265",Class I
207,Vapi,Gujarat,Municipality,"1,63,630",Class I
208,Sirsa,Haryana,Municipal Council,"1,60,735",
209,Navsari,Gujarat,Municipality,"1,60,100",Class I
210,Mahbubnagar,Telangana,Municipality,"1,57,902",Class I
211,Puri,Odisha,Municipality,"1,57,837",
212,Robertson Pet,Karnataka,Urban Agglomeration,"1,57,084",
213,Erode,Tamil Nadu,Municipal Corporation / Corporation.,"1,56,953",Class I
214,Batala,Punjab,Municipal Council,"1,56,400",Class I
215,Haldwani-cum-Kathgodam,Uttarakhand,Nagar Palika Parishad,"1,56,060",Class I
216,Vidisha,Madhya Pradesh,Municipality,"1,55,959",Class I
217,Saharsa,Bihar,Nagar Panchayat,"1,55,175",Class I
218,Thanesar,Haryana,Municipal Council,"1,54,962",Class I
219,Chittoor,Andhra Pradesh,Municipal Corporation / Corporation.,"1,53,766",Class I
220,Veraval,Gujarat,Municipality,"1,53,696",Class I
221,Lakhimpur,Uttar Pradesh,Nagar Palika Parishad,"1,52,010",Class I
222,Sitapur,Uttar Pradesh,Municipal board,"1,51,908",
223,Hindupur,Andhra Pradesh,Municipality,"1,51,835",Class I
224,Santipur,West Bengal,Municipality,"1,51,774",Class I
225,Balurghat,West Bengal,Municipality,"1,51,183",Class I
226,Ganjbasoda,Madhya Pradesh,Nagar Panchayat.,"1,50,454",Class I
227,Moga,Punjab,Municipal Council,"1,50,432",Class I
228,Proddatur,Andhra Pradesh,Municipality,"1,50,309",
229,Srinagar,Uttarakhand,,"1,50,000",
230,Medinipur,West Bengal,Municipality,"1,49,769",
231,Habra,West Bengal,Municipality,"1,49,675",Class II
232,Sasaram,Bihar,Nagar Panchayat,"1,47,396",Class I
233,Hajipur,Bihar,Nagar Panchayat,"1,47,126",Class I
234,Bhuj,Gujarat,Municipality,"1,47,123",Class I
235,Shivpuri,Madhya Pradesh,Municipality,"1,46,892",
236,Ranaghat,West Bengal,Urban Agglomeration,"1,45,285",
237,Shimla,Himachal Pradesh,Urban Agglomeration,"1,44,975",
238,Tiruvannamalai,Tamil Nadu,Municipality,"1,44,683",Class I
239,Kaithal,Haryana,Municipal Council,"1,44,633",Class I
240,Rajnandgaon,Chhattisgarh,Municipal Corporation / Corporation.,"1,43,770",
241,Godhra,Gujarat,Municipality,"1,43,126",Class I
242,Hazaribag,Jharkhand,Nagar Panchayat,"1,42,494",Class I
243,Bhimavaram,Andhra Pradesh,Municipality,"1,42,280",Class I
244,Mandsaur,Madhya Pradesh,Municipality,"1,41,468",Class I
245,Dibrugarh,Assam,Municipal board,"1,38,661",Class I
246,Kolar,Karnataka,City Municipal Council,"1,38,553",Class I
247,Bankura,West Bengal,Municipality,"1,38,036",Class I
248,Mandya,Karnataka,City Municipal Council,"1,37,735",Class I
249,Dehri-on-Sone,Bihar,Nagar Panchayat,"1,37,068",Class I
250,Madanapalle,Andhra Pradesh,Municipality,"1,35,669",Class I
251,Malerkotla,Punjab,Municipal Council,"1,35,330",Class I
252,Lalitpur,Uttar Pradesh,Nagar Palika Parishad,"1,33,041",Class I
253,Bettiah,Bihar,Nagar Panchayat,"1,32,896",Class I
254,Pollachi,Tamil Nadu,Urban Agglomeration,"1,28,458",
255,Khanna,Punjab,Municipal Council,"1,28,130",Class I
256,Neemuch,Madhya Pradesh,Municipality,"1,28,108",Class I
257,Palwal,Haryana,Municipal Council,"1,27,931",Class I
258,Palanpur,Gujarat,Municipality,"1,27,125",Class I
259,Guntakal,Andhra Pradesh,Municipality,"1,26,479",Class I
260,Nabadwip,West Bengal,Municipality,"1,25,528",Class I
261,Udupi,Karnataka,City Municipal Council.,"1,25,350",Class I
262,Jagdalpur,Chhattisgarh,Municipal Corporation / Corporation,"1,25,345",Class I
263,Motihari,Bihar,Nagar Panchayat,"1,25,183",Class I
264,Pilibhit,Uttar Pradesh,Municipal board,"1,24,245",
265,Dimapur,Nagaland,Municipal Committee,"1,23,777",Class I
266,Mohali,Punjab,Municipal Council,"1,23,484",
267,Sadulpur,Rajasthan,Municipality,"1,22,326",
268,Rajapalayam,Tamil Nadu,Municipality,"1,22,307",
269,Dharmavaram,Andhra Pradesh,Municipality,"1,21,992",Class I
270,Kashipur,Uttarakhand,Nagar Palika Parishad.,"1,21,610",Class I
271,Sivakasi,Tamil Nadu,Urban Agglomeration,"1,21,358",
272,Darjiling,West Bengal,Municipality,"1,20,414",Class I
273,Chikkamagaluru,Karnataka,City Municipal Council,"1,18,496",Class I
274,Gudivada,Andhra Pradesh,Municipality,"1,18,289",Class I
275,Baleshwar Town,Odisha,Municipality,"1,18,202",Class I
276,Mancherial,Telangana,Urban Agglomeration,"1,18,195",
277,Srikakulam,Andhra Pradesh,Urban Agglomeration,"1,17,320",
278,Adilabad,Telangana,Municipality,"1,17,167",Class I
279,Yavatmal,Maharashtra,Municipal Council,"1,16,714",Class I
280,Barnala,Punjab,Municipal Council,"1,16,454",Class I
281,Nagaon,Assam,Municipal board,"1,16,355",Class I
282,Narasaraopet,Andhra Pradesh,Municipality,"1,16,329",Class I
283,Raigarh,Chhattisgarh,Urban Agglomeration,"1,15,908",
284,Roorkee,Uttarakhand,Urban Agglomeration,"1,15,278",
285,Valsad,Gujarat,Municipality,"1,14,636",Class I
286,Ambikapur,Chhattisgarh,Municipal Corporation / Corporation.,"1,14,575",Class I
287,Giridih,Jharkhand,Town Panchayat,"1,14,447",Class I
288,Chandausi,Uttar Pradesh,Nagar Palika Parishad,"1,14,254",Class I
289,Purulia,West Bengal,Municipality,"1,13,806",
290,Patan,Gujarat,Urban Agglomeration,"1,13,749",
291,Bagaha,Bihar,Nagar Panchayat,"1,13,012",Class I
292,Hardoi ,Uttar Pradesh,Municipality,"1,12,486",Class II
293,Achalpur,Maharashtra,Municipal Council,"1,12,293",Class I
294,Osmanabad,Maharashtra,Municipal Council,"1,12,085",Class I
295,Deesa,Gujarat,,"1,11,149",Class I
296,Nandurbar,Maharashtra,Municipal Council,"1,11,067",Class I
297,Azamgarh,Uttar Pradesh,P.,"1,10,980",Class I
298,Ramgarh,Jharkhand,Urban Agglomeration,"1,10,496",
299,Firozpur,Punjab,Municipal Council,"1,10,091",Class I
300,Baripada Town,Odisha,Municipality,"1,10,058",Class I
301,Karwar,Karnataka,City Municipal Council,"1,10,000",Class I
302,Siwan,Bihar,Municipality,"1,09,919",
303,Rajampet,Andhra Pradesh,Municipality,"1,09,575",
304,Pudukkottai,Tamil Nadu,Municipality,"1,09,217",
305,Anantnag,Jammu and Kashmir,Municipal Council,"1,08,505",Class I
306,Tadpatri,Andhra Pradesh,Municipality,"1,08,249",Class I
307,Satara,Maharashtra,Municipal Council,"1,08,048",
308,Bhadrak,Odisha,Municipality,"1,07,369",Class I
309,Kishanganj,Bihar,Nagar Panchayat,"1,07,076",Class I
310,Suryapet,Telangana,Urban Agglomeration,"1,06,524",
311,Wardha,Maharashtra,Municipal Council,"1,06,444",Class I
312,Ranebennuru,Karnataka,City Municipal Council,"1,06,365",
313,Amreli,Gujarat,Municipality,"1,05,980",Class I
314,Neyveli (TS),Tamil Nadu,Census town,"1,05,687",Class I
315,Jamalpur,Bihar,Nagar Panchayat,"1,05,221",Class I
316,Marmagao,Goa,Urban Agglomeration,"1,04,758",
317,Udgir,Maharashtra,Municipal Council,"1,04,063",Class I
318,Tadepalligudem,Andhra Pradesh,Municipality,"1,03,577",Class I
319,Nagapattinam,Tamil Nadu,Municipality,"1,02,838",Class I
320,Buxar,Bihar,Nagar Panchayat,"1,02,591",Class I
321,Aurangabad,Maharashtra,Municipal Corporation / Corporation.,"1,02,520",Class I
322,Jehanabad,Bihar,Nagar Panchayat,"1,02,456",Class I
323,Phagwara,Punjab,Urban Agglomeration,"1,02,253",
324,Khair,Uttar Pradesh,Nagar Palika Parishad,"1,02,106",Class II
325,Sawai Madhopur,Rajasthan,Urban Agglomeration,"1,01,997",
326,Kapurthala,Punjab,Municipal Council,"1,01,654",Class I
327,Chilakaluripet,Andhra Pradesh,Municipality,"1,01,550",Class I
328,Aurangabad,Bihar,Nagar Panchayat.,"1,01,520",Class I
329,Malappuram,Kerala,Municipality,"1,01,330",Class I
330,Rewari,Haryana,Municipal Council,"1,00,684",
331,Nagaur,Rajasthan,Municipality,"1,00,618",Class I
332,Sultanpur,Uttar Pradesh,Municipal board,"1,00,065",
333,Nagda,Madhya Pradesh,Municipality,"1,00,036",Class I
334,Port Blair,Andaman and Nicobar Islands,Municipal Council,"99,984",
335,Lakhisarai,Bihar,Nagar Panchayat,"99,979",Class II
336,Panaji,Goa,Urban Agglomeration,"99,677",
337,Tinsukia,Assam,Municipal board.,"99,448",Class II
338,Itarsi,Madhya Pradesh,Municipality,"99,329",Class II
339,Kohima,Nagaland,Municipal Committee,"99,039",Class II
340,Balangir,Odisha,Municipality,"98,238",Class II
341,Nawada,Bihar,Nagar Parishad,"98,029",Class II
342,Jharsuguda,Odisha,Municipality,"97,730",Class II
343,Jagtial,Telangana,Municipality,"96,460",Class II
344,Viluppuram,Tamil Nadu,Municipality,"96,253",Class II
345,Amalner,Maharashtra,Municipal Council,"95,994",Class II
346,Zirakpur,Punjab,Municipal Council,"95,553",Class II
347,Tanda,Uttar Pradesh,Municipal board,"95,516",Class II
348,Tiruchengode,Tamil Nadu,Municipality,"95,335",Class II
349,Nagina,Uttar Pradesh,Nagar Palika Parishad,"95,246",Class II
350,Yemmiganur,Andhra Pradesh,Municipality,"95,149",Class II
351,Vaniyambadi,Tamil Nadu,Municipality,"95,061",Class II
352,Sarni,Madhya Pradesh,Municipality,"95,012",
353,Theni Allinagaram,Tamil Nadu,Municipality,"94,453",Class II
354,Margao,Goa,Urban Agglomeration,"94,383",
355,Akot,Maharashtra,Municipal Council,"92,637",Class II
356,Sehore,Madhya Pradesh,Urban Agglomeration,"92,518",
357,Mhow Cantonment,Madhya Pradesh,Urban Agglomeration,"92,364",
358,Kot Kapura,Punjab,Municipal Council,"91,979",Class II
359,Makrana,Rajasthan,Urban Agglomeration,"91,853",
360,Pandharpur,Maharashtra,Municipal Council,"91,379",
361,Miryalaguda,Telangana,Urban Agglomeration,"91,359",
362,Shamli,Uttar Pradesh,Municipal board,"90,055",
363,Seoni,Madhya Pradesh,Municipality,"89,801",
364,Ranibennur,Karnataka,City Municipal Council,"89,618",
365,Kadiri,Andhra Pradesh,Municipality,"89,429",Class II
