S. no.,Name of City,State,Type,Population (2011),Population class
788,Nilanga,Maharashtra,Municipal Council,"36,172",Class III
789,Naharlagun,Arunachal Pradesh,Notified Town,"36,158",Class III
790,Pakaur,Jharkhand,Municipality,"36,029",
791,Wai,Maharashtra,Municipal Council,"36,025",Class III
792,Tarikere,Karnataka,Town Municipal Council,"35,942",Class III
793,Malavalli,Karnataka,Town Municipal Council,"35,851",
794,Raisen,Madhya Pradesh,Municipality,"35,702",
795,Lahar,Madhya Pradesh,Nagar Panchayat,"35,674",Class III
796,Uravakonda,Andhra Pradesh,Census town,"35,565",Class III
797,Savanur,Karnataka,Town Municipal Council,"35,563",
798,Sirohi,Rajasthan,Municipality,"35,544",
799,Udhampur,Jammu and Kashmir,Urban Agglomeration,"35,507",Class III
800,Umarga,Maharashtra,Municipal Council,"35,477",Class III
801,Pratapgarh,Rajasthan,Municipality,"35,422",
802,Lingsugur,Karnataka,Town Municipal Council,"35,411",Class III
803,Usilampatti,Tamil Nadu,Municipality,"35,219",Class III
804,Palia Kalan,Uttar Pradesh,Municipal board,"35,029",
805,Wokha,Nagaland,Town Committee / Town Area Committee.,"35,004",Class III
806,Rajpipla,Gujarat,Municipality,"34,923",
807,Vijayapura,Karnataka,Town Municipal Council,"34,866",Class III
808,Rawatbhata,Rajasthan,Municipality,"34,690",
809,Sangaria,Rajasthan,Municipality,"34,537",
810,Paithan,Maharashtra,Municipal Council,"34,518",
811,Rahuri,Maharashtra,Municipal Council,"34,476",
812,Patti,Punjab,Municipal Council,"34,444",
813,Zaidpur,Uttar Pradesh,Nagar Panchayat,"34,443",Class III
814,Lalsot,Rajasthan,Municipality,"34,363",Class III
815,Maihar,Madhya Pradesh,Municipality,"34,342",
816,Vedaranyam,Tamil Nadu,Municipality,"34,266",Class III
817,Nawapur,Maharashtra,Municipal Council,"34,207",Class III
818,Solan,Himachal Pradesh,Municipal Council,"34,206",
819,Vapi,Gujarat,Industrial Notified Area,"34,162",Class III
820,Sanawad,Madhya Pradesh,Municipality,"34,114",
821,Warisaliganj,Bihar,Nagar Panchayat.,"34,056",Class III
822,Revelganj,Bihar,Municipality,"34,042",
823,Sabalgarh,Madhya Pradesh,Urban Agglomeration,"34,039",
824,Tuljapur,Maharashtra,Municipal Council,"34,011",Class III
825,Simdega,Jharkhand,Notified area,"33,981",
826,Musabani,Jharkhand,Census town,"33,980",
827,Kodungallur,Kerala,Municipality,"33,935",Class III
828,Phulabani,Odisha,Notified area committee / Notified Area Council,"33,890",
829,Umreth,Gujarat,Municipality,"33,762",Class III
830,Narsipatnam,Andhra Pradesh,Census town,"33,757",Class III
831,Nautanwa,Uttar Pradesh,Nagar Palika Parishad,"33,753",Class III
832,Rajgir,Bihar,Notified area,"33,738",
833,Yellandu,Telangana,Municipality,"33,732",Class III
834,Sathyamangalam,Tamil Nadu,Municipality,"33,722",
835,Pilibanga,Rajasthan,Municipality,"33,608",
836,Morshi,Maharashtra,Municipal Council,"33,607",
837,Pehowa,Haryana,Municipal Committee,"33,564",
838,Sonepur,Bihar,Notified area,"33,490",
839,Pappinisseri,Kerala,Census town,"33,273",
840,Zamania,Uttar Pradesh,Nagar Panchayat,"33,243",Class III
841,Mihijam,Jharkhand,Notified area,"33,236",
842,Purna,Maharashtra,Municipal Council,"33,225",
843,Puliyankudi,Tamil Nadu,Municipality,"33,187",
844,"Shikarpur, Bulandshahr",Uttar Pradesh,Municipal board,"33,187",
845,Umaria,Madhya Pradesh,Municipality,"33,114",Class III
846,Porsa,Madhya Pradesh,Municipality,"33,103",
847,Naugawan Sadat,Uttar Pradesh,Nagar Panchayat,"32,954",Class III
848,Fatehpur Sikri,Uttar Pradesh,Municipal board.,"32,905",Class III
849,Manuguru,Telangana,Census town,"32,893",
850,Udaipur,Tripura,Municipal Council,"32,758",Class III
851,Pipar City,Rajasthan,Municipality,"32,735",
852,Pattamundai,Odisha,Notified area committee / Notified Area Council,"32,730",
853,Nanjikottai,Tamil Nadu,Census town,"32,689",Class III
854,Taranagar,Rajasthan,Municipality,"32,640",Class III
855,Yerraguntla,Andhra Pradesh,Census town,"32,574",Class III
856,Satana,Maharashtra,Municipal Council,"32,561",
857,Sherghati,Bihar,Notified area,"32,526",
858,Sankeshwara,Karnataka,Town Municipal Council,"32,511",
859,Madikeri,Karnataka,Town Municipal Council,"32,496",
860,Thuraiyur,Tamil Nadu,Municipality,"32,439",Class III
861,Sanand,Gujarat,Municipality,"32,417",
862,Rajula,Gujarat,Municipality,"32,395",
863,Kyathampalle,Telangana,Census town,"32,385",Class III
864,"Shahabad, Rampur",Uttar Pradesh,Nagar Panchayat,"32,370",
865,Tilda Newra,Chhattisgarh,Municipality,"32,331",Class III
866,Narsinghgarh,Madhya Pradesh,Municipality,"32,329",Class III
867,Chittur-Thathamangalam,Kerala,Municipality,"32,298",Class III
868,Malaj Khand,Madhya Pradesh,Municipality,"32,296",
869,Sarangpur,Madhya Pradesh,Municipality,"32,294",
870,Robertsganj,Uttar Pradesh,Municipal board,"32,243",
871,Sirkali,Tamil Nadu,Municipality,"32,228",
872,Radhanpur,Gujarat,Municipality,"32,191",
873,Tiruchendur,Tamil Nadu,Town Panchayat,"32,171",Class III
874,Utraula,Uttar Pradesh,Nagar Palika Parishad.,"32,145",Class III
875,Patratu,Jharkhand,Census town,"32,134",
876,"Vijainagar, Ajmer",Rajasthan,Municipality,"32,124",Class III
877,Periyasemur,Tamil Nadu,Town Panchayat,"32,024",
878,Pathri,Maharashtra,Municipal Council,"32,001",
879,Sadabad,Uttar Pradesh,Nagar Panchayat,"31,742",
880,Talikota,Karnataka,Town Municipal Council,"31,693",Class III
881,Sinnar,Maharashtra,Municipal Council,"31,630",
882,Mungeli,Chhattisgarh,Urban Agglomeration,"31,613",
883,Sedam,Karnataka,Town Municipal Council,"31,539",
884,Shikaripur,Karnataka,Town Municipal Council,"31,516",
885,Sumerpur,Rajasthan,Municipality,"31,482",
886,Sattur,Tamil Nadu,Municipality,"31,443",
887,Sugauli,Bihar,Notified area,"31,432",
888,Lumding,Assam,Municipal board,"31,347",Class III
889,Vandavasi,Tamil Nadu,Municipality,"31,320",Class III
890,Titlagarh,Odisha,Notified area committee / Notified Area Council ,"31,258",Class III
891,Uchgaon,Maharashtra,Census town,"31,238",Class III
892,Mokokchung,Nagaland,Town Committee / Town Area Committee,"31,214",
893,Paschim Punropara,West Bengal,Census town,"31,198",
894,Sagwara,Rajasthan,Municipality,"31,127",
895,Ramganj Mandi,Rajasthan,Municipality,"30,973",
896,Tarakeswar,West Bengal,Municipality,"30,947",Class III
897,Mahalingapura,Karnataka,Town Municipal Council,"30,858",
898,Dharmanagar,Tripura,Municipal Council,"30,785",Class III
899,Mahemdabad,Gujarat,Municipality,"30,768",
900,Manendragarh,Chhattisgarh,Municipality,"30,758",
901,Uran,Maharashtra,Municipal Council,"30,439",Class III
902,Tharamangalam,Tamil Nadu,Town Panchayat,"30,222",Class III
903,Tirukkoyilur,Tamil Nadu,Town Panchayat,"30,212",Class III
904,Pen,Maharashtra,Municipal Council,"30,201",
905,Makhdumpur,Bihar,Notified area,"30,109",
906,Maner,Bihar,Notified area,"30,082",
907,Oddanchatram,Tamil Nadu,Town Panchayat,"30,064",Class III
908,Palladam,Tamil Nadu,Town Panchayat,"30,016",
909,Mundi,Madhya Pradesh,Nagar Panchayat,"30,000",
910,Nabarangapur,Odisha,Municipality,"29,960",Class III
911,Mudalagi,Karnataka,Town Municipal Council,"29,893",
912,Samalkha,Haryana,Municipal Committee,"29,866",
913,Nepanagar,Madhya Pradesh,Municipality,"29,682",Class III
914,Karjat,Maharashtra,Municipal Council,"29,663",Class III
915,Ranavav,Gujarat,Urban Agglomeration,"29,645",
916,Pedana,Andhra Pradesh,Nagar Panchayat,"29,613",
917,Pinjore,Haryana,Urban Agglomeration,"29,609",
918,Lakheri,Rajasthan,Municipality,"29,572",Class III
919,Pasan,Madhya Pradesh,Municipality,"29,565",
920,Puttur,Andhra Pradesh,Census town,"29,436",
921,Vadakkuvalliyur,Tamil Nadu,Town Panchayat,"29,417",Class III
922,Tirukalukundram,Tamil Nadu,Town Panchayat,"29,391",Class III
923,Mahidpur,Madhya Pradesh,Urban Agglomeration,"29,379",
924,Mussoorie,Uttarakhand,Urban Agglomeration,"29,329",
925,Muvattupuzha,Kerala,Municipality,"29,246",
926,Rasra,Uttar Pradesh,Municipal board,"29,238",
927,Udaipurwati,Rajasthan,Municipality,"29,236",Class III
928,Manwath,Maharashtra,Municipal Council,"29,218",
929,Adoor,Kerala,Municipality,"29,171",Class III
930,Uthamapalayam,Tamil Nadu,Town Panchayat,"29,050",Class III
931,Partur,Maharashtra,Municipal Council,"29,012",
932,Nahan,Himachal Pradesh,Municipal Council,"28,899",Class III
933,Ladwa,Haryana,Municipal Committee,"28,887",Class III
934,Mankachar,Assam,Census town,"28,780",
935,Nongstoin,Meghalaya,Town Committee / Town Area Committee,"28,742",Class III
936,Losal,Rajasthan,Municipality,"28,504",Class III
937,Sri Madhopur,Rajasthan,Municipality,"28,492",
938,Ramngarh,Rajasthan,Municipality,"28,458",
939,Mavelikkara,Kerala,Municipality,"28,439",
940,Rawatsar,Rajasthan,Municipality,"28,387",
941,Rajakhera,Rajasthan,Municipality,"28,349",
942,Lar,Uttar Pradesh,Nagar Panchayat,"28,307",Class III
943,Lal Gopalganj Nindaura,Uttar Pradesh,Nagar Panchayat,"28,288",Class III
944,Muddebihal,Karnataka,Town Municipal Council,"28,219",
945,Sirsaganj,Uttar Pradesh,Urban Agglomeration,"28,212",
946,Shahpura,Rajasthan,Municipality,"28,174",
947,Surandai,Tamil Nadu,Town Panchayat,"28,146",
948,Sangole,Maharashtra,Municipal Council,"28,116",
949,Pavagada,Karnataka,Town Panchayat,"28,068",
950,Tharad,Gujarat,Municipality,"27,954",Class III
951,Mansa,Gujarat,Municipality,"27,922",
952,Umbergaon,Gujarat,Municipality,"27,859",Class III
953,Mavoor,Kerala,Census town,"27,845",
954,Nalbari,Assam,Municipal board,"27,839",Class III
955,Talaja,Gujarat,Municipality,"27,822",Class III
956,Malur,Karnataka,Town Municipal Council,"27,815",
957,Mangrulpir,Maharashtra,Municipal Council,"27,815",
958,Soro,Odisha,Notified area committee / Notified Area Council,"27,794",
959,Shahpura,Rajasthan,Municipality,"27,792",
960,Vadnagar,Gujarat,Municipality,"27,790",Class III
961,Raisinghnagar,Rajasthan,Municipality,"27,736",
962,Sindhagi,Karnataka,Town Municipal Council,"27,732",
963,Sanduru,Karnataka,Town Panchayat,"27,614",
964,Sohna,Haryana,Municipal Committee,"27,570",
965,Manavadar,Gujarat,Municipality,"27,563",
966,Pihani,Uttar Pradesh,Municipal board,"27,545",
967,Safidon,Haryana,Municipal Committee,"27,541",
968,Risod,Maharashtra,Municipal Council,"27,516",
969,Rosera,Bihar,Municipality,"27,492",
970,Sankari,Tamil Nadu,Town Panchayat,"27,454",
971,Malpura,Rajasthan,Urban Agglomeration,"27,360",
972,Sonamukhi,West Bengal,Municipality,"27,354",
973,"Shamsabad, Agra",Uttar Pradesh,Municipal board,"27,338",
974,Nokha,Bihar,Nagar Panchayat,"27,302",Class III
975,PandUrban Agglomeration,West Bengal,Census town,"27,161",
976,Mainaguri,West Bengal,Census town,"27,106",
977,Afzalpur,Karnataka,Town Panchayat,"27,088",Class III
978,Shirur,Maharashtra,Municipal Council,"26,999",
979,Salaya,Gujarat,Municipality,"26,875",
980,Shenkottai,Tamil Nadu,Municipality,"26,838",
981,Pratapgarh,Tripura,Census town,"26,837",
982,Vadipatti,Tamil Nadu,Town Panchayat,"26,830",Class III
983,Nagarkurnool,Telangana,Census town,"26,801",Class III
984,Savner,Maharashtra,Municipal Council,"26,712",
985,Sasvad,Maharashtra,Municipal Council,"26,689",
986,Rudrapur,Uttar Pradesh,Nagar Panchayat,"26,683",
987,Soron,Uttar Pradesh,Municipal board,"26,678",
988,Sholingur,Tamil Nadu,Town Panchayat,"26,652",
989,Pandharkaoda,Maharashtra,Municipal Council,"26,572",
990,Perumbavoor,Kerala,Municipality,"26,547",
991,Maddur,Karnataka,Town Municipal Council,"26,521",
992,Nadbai,Rajasthan,Municipality,"26,411",Class III
993,Talode,Maharashtra,Municipal Council,"26,363",Class III
994,Shrigonda,Maharashtra,Municipal Council,"26,324",
995,Madhugiri,Karnataka,Town Municipal Council,"26,304",
996,Tekkalakote,Karnataka,Town Panchayat,"26,224",Class III
997,Seoni-Malwa,Madhya Pradesh,Municipality,"26,202",
998,Shirdi,Maharashtra,Municipal Council,"26,184",
999,SUrban Agglomerationr,Uttar Pradesh,Municipal board,"26,149",
1000,Terdal,Karnataka,Town Municipal Council,"26,088",Class III
1001,Raver,Maharashtra,Municipal Council,"25,993",
1002,Tirupathur,Tamil Nadu,Town Panchayat,"25,980",Class III
1003,Taraori,Haryana,Municipal Committee.,"25,944",Class III
1004,Mukhed,Maharashtra,Municipal Council,"25,933",
1005,Manachanallur,Tamil Nadu,Town Panchayat,"25,931",
1006,Rehli,Madhya Pradesh,Municipality,"25,890",
1007,Sanchore,Rajasthan,Municipality,"25,884",
1008,Rajura,Maharashtra,Municipal Council,"25,843",
1009,Piro,Bihar,Notified area,"25,811",
1010,Mudabidri,Karnataka,Town Municipal Council,"25,713",
1011,Vadgaon Kasba,Maharashtra,Municipal Council,"25,651",Class III
1012,Nagar,Rajasthan,Municipality,"25,572",Class III
1013,Vijapur,Gujarat,Municipality,"25,558",Class III
1014,Viswanatham,Tamil Nadu,Census town,"25,555",Class III
1015,Polur,Tamil Nadu,Town Panchayat,"25,505",
1016,Panagudi,Tamil Nadu,Town Panchayat,"25,501",
1017,Manawar,Madhya Pradesh,Municipality,"25,467",
1018,Tehri,Uttarakhand,Nagar Palika Parishad.,"25,423",Class III
1019,Samdhan,Uttar Pradesh,Nagar Panchayat,"25,327",
1020,Pardi,Gujarat,Municipality,"25,275",
1021,Rahatgarh,Madhya Pradesh,Nagar Panchayat,"25,215",
1022,Panagar,Madhya Pradesh,Municipality,"25,199",
1023,Uthiramerur,Tamil Nadu,Town Panchayat,"25,194",Class III
1024,Tirora,Maharashtra,Municipal Council,"25,181",Class III
1025,Rangia,Assam,Municipal board,"25,151",
1026,Sahjanwa,Uttar Pradesh,Nagar Panchayat,"25,107",
1027,Wara Seoni,Madhya Pradesh,Municipality,"25,103",Class III
1028,Magadi,Karnataka,Town Municipal Council,"25,031",
1029,Rajgarh (Alwar),Rajasthan,Municipality,"25,009",
1030,Rafiganj,Bihar,Notified area,"24,992",
1031,Tarana,Madhya Pradesh,Nagar Panchayat,"24,908",Class III
1032,Rampur Maniharan,Uttar Pradesh,Nagar Panchayat,"24,844",
1033,Sheoganj,Rajasthan,Municipality,"24,789",
1034,Raikot,Punjab,Municipal Council,"24,769",
1035,Pauri,Uttarakhand,Municipal board,"24,743",
1036,Sumerpur,Uttar Pradesh,Nagar Panchayat,"24,661",
1037,Navalgund,Karnataka,Town Municipal Council,"24,613",Class III
1038,Shahganj,Uttar Pradesh,Municipal board,"24,602",
1039,Marhaura,Bihar,Notified area,"24,548",
1040,Tulsipur,Uttar Pradesh,Nagar Panchayat,"24,488",Class III
1041,Sadri,Rajasthan,Municipality,"24,413",
1042,Thiruthuraipoondi,Tamil Nadu,Municipality,"24,404",Class III
1043,Shiggaon,Karnataka,Town Panchayat,"24,327",
1044,Pallapatti,Tamil Nadu,Census town,"24,326",
1045,Mahendragarh,Haryana,Municipal Committee,"24,323",
1046,Sausar,Madhya Pradesh,Nagar Panchayat,"24,312",
1047,Ponneri,Tamil Nadu,Town Panchayat,"24,309",
1048,Mahad,Maharashtra,Municipal Council,"24,276",
1049,Lohardaga,Jharkhand,Municipal Council,"24,125",Class III
1050,Tirwaganj,Uttar Pradesh,Nagar Panchayat,"24,082",Class III
1051,Margherita,Assam,Census town,"24,049",
1052,Sundarnagar,Himachal Pradesh,Municipal Council,"23,986",
1053,Rajgarh,Madhya Pradesh,Nagar Panchayat,"23,937",
1054,Mangaldoi,Assam,Municipal board,"23,920",
1055,Renigunta,Andhra Pradesh,Census town,"23,862",
1056,Longowal,Punjab,Municipal Council,"23,851",Class III
1057,Ratia,Haryana,Municipal Committee,"23,826",
1058,Lalgudi,Tamil Nadu,Town Panchayat,"23,740",Class III
1059,Shrirangapattana,Karnataka,Town Municipal Council,"23,729",
1060,Niwari,Madhya Pradesh,Nagar Panchayat,"23,724",Class III
1061,Natham,Tamil Nadu,Town Panchayat,"23,660",Class III
1062,Unnamalaikadai,Tamil Nadu,Town Panchayat,"23,656",Class III
1063,PurqUrban Agglomerationzi,Uttar Pradesh,Urban Agglomeration,"23,599",
1064,"Shamsabad, Farrukhabad",Uttar Pradesh,Nagar Panchayat,"23,596",
1065,Mirganj,Bihar,Notified area,"23,576",
1066,Todaraisingh,Rajasthan,Municipality,"23,559",Class III
1067,Warhapur,Uttar Pradesh,Nagar Panchayat.,"23,456",Class III
1068,Rajam,Andhra Pradesh,Census town,"23,424",
1069,Urmar Tanda,Punjab,Municipal Council,"23,419",Class III
1070,Lonar,Maharashtra,Municipal Council,"23,416",Class III
1071,Powayan,Uttar Pradesh,Nagar Panchayat,"23,406",
1072,P.N.Patti,Tamil Nadu,Town Panchayat,"23,331",
1073,Palampur,Himachal Pradesh,Town Panchayat,"23,331",
1074,Srisailam Project (Right Flank Colony) Township,Andhra Pradesh,Census town,"23,273",
1075,Sindagi,Karnataka,Town Municipal Council,"23,234",
1076,Sandi,Uttar Pradesh,Municipal board,"23,234",
1077,Vaikom,Kerala,Municipality,"23,234",Class III
1078,Malda,West Bengal,Municipality,"23,218",
1079,Tharangambadi,Tamil Nadu,Town Panchayat,"23,191",Class III
1080,Sakaleshapura,Karnataka,Town Municipal Council,"23,176",
1081,Lalganj,Bihar,Notified area committee / Notified Area Council,"23,124",Class III
1082,Malkangiri,Odisha,Notified area committee / Notified Area Council,"23,114",
1083,Rapar,Gujarat,Municipality,"23,057",
1084,Mauganj,Madhya Pradesh,Nagar Panchayat,"23,024",
1085,Todabhim,Rajasthan,Municipality,"22,977",Class III
1086,Srinivaspur,Karnataka,Town Panchayat,"22,959",
1087,Murliganj,Bihar,Notified area,"22,936",
1088,Reengus,Rajasthan,Municipality,"22,932",
1089,Sawantwadi,Maharashtra,Municipal Council,"22,901",
1090,Tittakudi,Tamil Nadu,Town Panchayat,"22,894",Class III
1091,Lilong,Manipur,Nagar Panchayat,"22,888",Class III
1092,Rajaldesar,Rajasthan,Municipality,"22,836",
1093,Pathardi,Maharashtra,Municipal Council,"22,827",
1094,Achhnera,Uttar Pradesh,Nagar Panchayat.,"22,781",Class III
1095,Pacode,Tamil Nadu,Town Panchayat,"22,781",
1096,Naraura,Uttar Pradesh,Nagar Panchayat,"22,775",Class III
1097,Nakur,Uttar Pradesh,Nagar Palika Parishad,"22,712",Class III
1098,Palai,Kerala,Municipality,"22,640",
1099,"Morinda, India",Punjab,Municipal Council,"22,635",
1100,Manasa,Madhya Pradesh,Nagar Panchayat,"22,623",
1101,Nainpur,Madhya Pradesh,Municipality,"22,607",Class III
1102,Sahaspur,Uttar Pradesh,Nagar Panchayat,"22,606",
1103,Pauni,Maharashtra,Municipal Council,"22,587",
1104,Prithvipur,Madhya Pradesh,Nagar Panchayat,"22,535",
1105,Ramtek,Maharashtra,Municipal Council,"22,516",
1106,Silapathar,Assam,Town Committee / Town Area Committee,"22,516",
1107,Songadh,Gujarat,Municipality,"22,431",
1108,Safipur,Uttar Pradesh,Nagar Panchayat,"22,378",
1109,Sohagpur,Madhya Pradesh,Nagar Panchayat,"22,339",
1110,Mul,Maharashtra,Municipal Council,"22,330",
1111,Sadulshahar,Rajasthan,Municipality,"22,326",
1112,Phillaur,Punjab,Municipal Council,"22,302",
1113,Sambhar,Rajasthan,Municipality,"22,293",
1114,Prantij,Rajasthan,Municipality,"22,282",
1115,Nagla,Uttarakhand,Census town,"22,258",Class III
1116,Pattran,Punjab,Nagar Panchayat,"22,175",
1117,Mount Abu,Rajasthan,Municipality,"22,152",
1118,Reoti,Uttar Pradesh,Nagar Panchayat,"22,082",
1119,Tenu dam-cum-Kathhara,Jharkhand,Census town.,"22,080",Class III
1120,Panchla,West Bengal,Census town,"22,051",
1121,Sitarganj,Uttarakhand,Municipal board,"22,027",
1122,Pasighat,Arunachal Pradesh,Census town,"21,965",
1123,Motipur,Bihar,Notified area,"21,957",
1124,O' Valley,Tamil Nadu,Town Panchayat,"21,943",Class III
1125,Raghunathpur,West Bengal,Municipality,"21,932",
1126,Suriyampalayam,Tamil Nadu,Town Panchayat,"21,923",
1127,Qadian,Punjab,Municipal Council,"21,899",Class III
1128,Rairangpur,Odisha,Notified area committee / Notified Area Council,"21,896",
1129,Silvassa,Dadra and Nagar Haveli,Census town,"21,893",
1130,Nowrozabad (Khodargama),Madhya Pradesh,Nagar Panchayat,"21,883",Class III
1131,Mangrol,Rajasthan,Municipality,"21,842",
1132,Soyagaon,Maharashtra,Census town,"21,819",
1133,Sujanpur,Punjab,Municipal Council,"21,815",
1134,Manihari,Bihar,Notified area,"21,803",
1135,Sikanderpur,Uttar Pradesh,Nagar Panchayat,"21,783",
1136,Mangalvedhe,Maharashtra,Municipal Council,"21,706",
1137,Phulera,Rajasthan,Municipality,"21,643",
1138,Ron,Karnataka,Town Panchayat,"21,643",
1139,Sholavandan,Tamil Nadu,Town Panchayat,"21,638",
1140,Saidpur,Uttar Pradesh,Nagar Panchayat,"21,568",
1141,Shamgarh,Madhya Pradesh,Nagar Panchayat,"21,507",
1142,Thammampatti,Tamil Nadu,Town Panchayat,"21,503",Class III
1143,Maharajpur,Madhya Pradesh,Nagar Panchayat,"21,490",
1144,Multai,Madhya Pradesh,Nagar Panchayat,"21,423",
1145,Mukerian,Punjab,Municipal Council,"21,384",
1146,Sirsi,Uttar Pradesh,Nagar Panchayat,"21,373",
1147,Purwa,Uttar Pradesh,Nagar Panchayat,"21,271",
1148,Sheohar,Bihar,Notified area,"21,262",
1149,Namagiripettai,Tamil Nadu,Town Panchayat,"21,250",Class III
1150,Parasi,Uttar Pradesh,Census town,"21,206",
1151,Lathi,Gujarat,Municipality,"21,173",Class III
1152,Lalganj,Uttar Pradesh,Nagar Panchayat,"21,142",Class III
1153,Narkhed,Maharashtra,Municipal Council,"21,127",Class III
1154,Mathabhanga,West Bengal,Municipality,"21,107",
1155,Shendurjana,Maharashtra,Municipal Council,"21,083",
1156,Peravurani,Tamil Nadu,Town Panchayat,"21,045",
1157,Mariani,Assam,Town Committee / Town Area Committee,"20,997",
1158,Phulpur,Uttar Pradesh,Nagar Panchayat,"20,986",
1159,Rania,Haryana,Municipal Committee,"20,961",
1160,Pali,Madhya Pradesh,Nagar Panchayat,"20,942",
1161,Pachore,Madhya Pradesh,Nagar Panchayat,"20,939",
1162,Parangipettai,Tamil Nadu,Town Panchayat,"20,912",
1163,Pudupattinam,Tamil Nadu,Census town,"20,901",
1164,Panniyannur,Kerala,Census town,"20,863",
1165,Maharajganj,Bihar,Notified area,"20,860",
1166,Rau,Madhya Pradesh,Nagar Panchayat,"20,855",
1167,Monoharpur,West Bengal,Census town,"20,846",
1168,Mandawa,Rajasthan,Municipality,"20,830",
1169,Marigaon,Assam,Town Committee / Town Area Committee,"20,811",
1170,Pallikonda,Tamil Nadu,Town Panchayat,"20,771",
1171,Pindwara,Rajasthan,Municipality,"20,765",
1172,Shishgarh,Uttar Pradesh,Nagar Panchayat,"20,684",
1173,Patur,Maharashtra,Municipal Council,"20,538",
1174,Mayang Imphal,Manipur,Nagar Panchayat,"20,532",
1175,Mhowgaon,Madhya Pradesh,Nagar Panchayat,"20,523",
1176,Guruvayoor,Kerala,Municipality,"20,510",Class III
1177,Mhaswad,Maharashtra,Municipal Council,"20,500",
1178,Sahawar,Uttar Pradesh,Nagar Panchayat,"20,470",
1179,Sivagiri,Tamil Nadu,Town Panchayat,"20,380",
1180,Mundargi,Karnataka,Town Panchayat,"20,363",
1181,Punjaipugalur,Tamil Nadu,Town Panchayat,"20,309",
1182,Kailasahar,Tripura,Nagar Panchayat,"20,279",Class III
1183,Samthar,Uttar Pradesh,Municipal board,"20,217",
1184,Sakti,Chhattisgarh,Nagar Panchayat,"20,213",
1185,Sadalagi,Karnataka,Town Panchayat,"20,202",
1186,Silao,Bihar,Notified area,"20,177",
1187,Mandalgarh,Rajasthan,Municipality,"20,169",
1188,Loha,Maharashtra,Municipal Council,"20,148",Class III
1189,Pukhrayan,Uttar Pradesh,Municipal board,"20,107",
1190,Padmanabhapuram,Tamil Nadu,Municipality,"20,075",
1191,Belonia,Tripura,Municipal Council,"19,996",Class IV
1192,Saiha,Mizoram,Notified Town,"19,731",
1193,Srirampore,West Bengal,,19500,
1194,Talwara,Punjab,Census town,"19,485",Class IV
1195,Puthuppally,Kerala,Municipality,"18,850",
1196,Khowai,Tripura,Municipal Council,"18,526",Class IV
1197,Vijaypur,Madhya Pradesh,Nagar Panchayat.,"16,964",Class IV
1198,Takhatgarh,Rajasthan,Municipality,"16,729",Class IV
1199,Thirupuvanam,Tamil Nadu,Town Panchayat,"14,989",Class IV
1200,Adra,West Bengal,Census town.,"14,956",Class IV
1201,Piriyapatna,Karnataka,Census town,"14,924",
1202,Obra,Uttar Pradesh,Nagar Panchayat,"14,786",Class IV
1203,Adalaj,Gujarat,Census town.,"11,957",Class IV
1204,Nandgaon,Maharashtra,Nagar Panchayat,"11,517",Class IV
1205,Barh,Bihar,Census town,"10,803",Class IV
1206,Chhapra,Gujarat,Census town,"10,147",Class IV
1207,Panamattom,Kerala,Notified area,"10,032",
1208,Niwai,Uttar Pradesh,Nagar Panchayat,"9,205",Class V
1209,Bageshwar,Uttarakhand,Nagar Palika Parishad,"9,079",Class V
1210,Tarbha,Odisha,Notified area committee / Notified Area Council.,"8,334",Class V
1211,Adyar,Karnataka,Census town.,"7,034",Class V
1212,Narsinghgarh,Madhya Pradesh,Census town,"6,735",Class V
1213,Warud,Maharashtra,Municipal Council,"6,386",Class V
1214,Asarganj,Bihar,Census town.,"6,327",Class V
1215,Sarsod,Haryana,Gram Panchayat,"4,630",
1216,,,,,
1217,,,,,
